state,year,n_new_dx,n_idu_dx,idu_pct
Florida,2012,4254,182.922,4.3
Georgia,2012,2562,115.29,4.5
Hawaii,2012,81,3.9690000000000003,4.9
Idaho,2012,36,3.9959999999999996,11.1
Illinois,2012,1640,75.44,4.6
Indiana,2012,484,24.2,5.0
Iowa,2012,116,9.975999999999999,8.6
Kansas,2012,151,6.04,4.0
Kentucky,2012,359,25.848000000000003,7.2
Louisiana,2012,1006,67.402,6.7
Maine,2012,49,2.989,6.1
Maryland,2012,1303,97.725,7.5
Massachusetts,2012,689,86.125,12.5
Michigan,2012,781,49.203,6.3
Minnesota,2012,313,18.154,5.8
Mississippi,2012,441,14.993999999999998,3.4
Missouri,2012,524,24.103999999999996,4.6
Montana,2012,20,3.0,15.0
Nebraska,2012,80,4.0,5.0
Nevada,2012,367,23.121,6.3
New Hampshire,2012,46,1.9779999999999998,4.3
New Jersey,2012,1258,148.44400000000002,11.8
New Mexico,2012,116,9.048,7.8
New York,2012,3487,275.473,7.9
North Carolina,2012,1213,64.289,5.3
North Dakota,2012,9,0.0,0.0
Ohio,2012,1004,51.20399999999999,5.1
Oklahoma,2012,283,24.904,8.8
Oregon,2012,269,12.912,4.8
Pennsylvania,2012,1410,146.64,10.4
Rhode Island,2012,79,7.979,10.1
South Carolina,2012,684,28.728,4.2
South Dakota,2012,25,4.0,16.0
Tennessee,2012,851,34.891,4.1
Texas,2012,4301,258.06,6.0
Utah,2012,121,4.960999999999999,4.1
Vermont,2012,14,2.9959999999999996,21.4
Virginia,2012,933,36.387,3.9
Washington,2012,492,27.06,5.5
West Virginia,2012,78,8.034,10.3
Wisconsin,2012,217,11.935,5.5
Wyoming,2012,7,0.0,0.0
Puerto Rico,2012,713,99.10700000000001,13.9
Alabama,2013,618,29.046,4.7
Alaska,2013,23,0.9889999999999999,4.3
Arizona,2013,680,59.84000000000001,8.8
Arkansas,2013,259,9.065,3.5
California,2013,4676,247.828,5.3
Colorado,2013,310,13.02,4.2
Connecticut,2013,322,32.843999999999994,10.2
Delaware,2013,111,8.991,8.1
"Washington, D.C.",2013,478,36.806,7.7
Florida,2013,4194,180.342,4.3
Georgia,2013,2308,94.62799999999999,4.1
Hawaii,2013,94,6.016,6.4
Idaho,2013,25,3.0,12.0
Illinois,2013,1580,67.94,4.3
Indiana,2013,470,23.03,4.9
Iowa,2013,119,7.021,5.9
Kansas,2013,147,7.056,4.8
Kentucky,2013,349,25.826,7.4
Louisiana,2013,1111,68.882,6.2
Maine,2013,40,7.0,17.5
Maryland,2013,1280,81.92,6.4
Massachusetts,2013,663,78.89699999999999,11.9
Michigan,2013,749,53.928000000000004,7.2
Minnesota,2013,302,12.08,4.0
Mississippi,2013,470,15.98,3.4
Missouri,2013,461,30.887000000000004,6.7
Montana,2013,22,0.0,0.0
Nebraska,2013,80,2.0,2.5
